Total Packets,Incoming Packets,Outgoing Packets,Incoming Ratio,Outgoing Ratio,Outgoing Std,Outgoing Mean,Packets per Second,First 30 Incoming,First 30 Outgoing,Inter-arrival Mean,Inter-arrival Std,Concentration Mean,Concentration Std,Alternative Sum,Label
1421.0,121.0,1300.0,0.08515130190007038,0.9148486980999296,515.4839532235789,773.3223140495868,140.13806704732366,9.0,21.0,0.007140845070422536,0.0411677419780044,1.6805555555555556,2.510126097368688,-603648.0,0
518.0,80.0,438.0,0.15444015444015444,0.8455598455598455,139.23195069289952,226.1625,50.984251963485804,8.0,22.0,0.01965183752417795,0.163929841404221,3.076923076923077,3.011811069300291,-183296.0,0
1358.0,118.0,1240.0,0.08689248895434462,0.9131075110456554,472.7355082327105,786.1101694915254,122.23222321132023,7.0,23.0,0.008187177597641856,0.06666130174434562,1.7352941176470589,2.3615650783700968,-574464.0,0
1446.0,122.0,1324.0,0.08437067773167359,0.9156293222683264,513.9160375955694,820.139344262295,108.23353292603043,9.0,21.0,0.009245674740484428,0.04780929377492967,1.6712328767123288,2.183718046683745,-615424.0,0
1406.0,115.0,1291.0,0.08179231863442389,0.9182076813655761,503.99349022110914,789.6086956521739,132.1428571304377,8.0,22.0,0.007572953736654804,0.03876036215250818,1.619718309859155,2.112112600918929,-602112.0,0
559.0,68.0,491.0,0.12164579606440072,0.8783542039355993,161.21417214162022,249.5735294117647,52.048417127369795,8.0,22.0,0.01924731182795699,0.16548767873098635,2.4285714285714284,2.5555062599997593,-216576.0,0
1376.0,115.0,1261.0,0.08357558139534883,0.9164244186046512,481.71396073000915,800.6782608695652,86.86868686320274,7.0,23.0,0.01152,0.08073626289007033,1.6666666666666667,2.19793491131929,-586752.0,0
1403.0,126.0,1277.0,0.08980755523877405,0.910192444761226,488.0052272146926,806.7301587301587,158.53107342841457,8.0,22.0,0.006312410841654779,0.06583944485886377,1.7746478873239437,2.670639439696369,-589312.0,0
564.0,70.0,494.0,0.12411347517730496,0.875886524822695,169.4687473445491,259.1714285714286,47.715736036572274,8.0,22.0,0.02099467140319716,0.17121052128996186,2.413793103448276,2.7482563924374173,-217088.0,0
564.0,74.0,490.0,0.13120567375886524,0.8687943262411347,163.4145003995445,258.2567567567568,45.66801619063417,8.0,22.0,0.021936056838365896,0.13139631114561504,2.5517241379310347,2.7365496384864136,-212992.0,0
1423.0,117.0,1306.0,0.08222066057624737,0.9177793394237527,508.2418494039746,806.982905982906,111.60784312850134,8.0,22.0,0.008966244725738396,0.054420488585467844,1.625,2.194927865177654,-608768.0,0
567.0,67.0,500.0,0.11816578483245149,0.8818342151675485,169.97111780126562,256.5970149253731,46.28571428193586,8.0,22.0,0.021643109540636044,0.1438551238485045,2.310344827586207,2.436835826766173,-221696.0,0
563.0,71.0,492.0,0.1261101243339254,0.8738898756660746,162.45214026723463,253.32394366197184,39.50877192705202,8.0,22.0,0.025355871886120998,0.14838141451578768,2.4482758620689653,2.6074985621254565,-215552.0,0
1443.0,116.0,1327.0,0.08038808038808039,0.9196119196119196,516.8925187755301,812.2844827586207,135.2389878036327,8.0,22.0,0.007399445214979195,0.05467688418378717,1.5890410958904109,2.2985142100177653,-620032.0,0
1452.0,136.0,1316.0,0.09366391184573003,0.90633608815427,500.97940646367095,874.5441176470588,132.9670329548565,8.0,22.0,0.007525844245348036,0.04372095102037445,1.8630136986301369,2.7011670156411447,-604160.0,0
552.0,70.0,482.0,0.12681159420289856,0.8731884057971014,157.573048171964,251.81428571428572,47.01873934863554,8.0,22.0,0.021306715063520873,0.20219063063463757,2.5,2.70581384641083,-210944.0,0
564.0,72.0,492.0,0.1276595744680851,0.8723404255319149,163.39886664819184,261.43055555555554,53.919694067502896,7.0,23.0,0.01857904085257549,0.16277272909462778,2.4827586206896552,2.4582119890512573,-215040.0,0
1417.0,115.0,1302.0,0.08115737473535639,0.9188426252646437,512.7628992533115,805.0956521739131,133.05164317999515,7.0,23.0,0.007521186440677966,0.045550612599578474,1.619718309859155,2.177776338333575,-607744.0,0
560.0,68.0,492.0,0.12142857142857143,0.8785714285714286,159.72213856708441,247.51470588235293,24.22145328614959,8.0,22.0,0.041359570661896244,0.34813422124822635,2.4285714285714284,2.3364896048280177,-217088.0,0
1178.0,99.0,1079.0,0.08404074702886248,0.9159592529711376,435.47688542916654,655.6767676767677,40.94542926517395,8.0,22.0,0.024443500424808837,0.0913463001599556,1.6779661016949152,2.2582479932130806,-501760.0,0
629.0,112.0,517.0,0.178060413354531,0.821939586645469,171.25044223836835,273.01785714285717,15.88785046688841,9.0,21.0,0.06304140127388536,0.497155108701088,3.5,4.479118216792229,-207360.0,0
5072.0,1604.0,3468.0,0.31624605678233436,0.6837539432176656,1241.7570335132643,3762.3192019950125,97.05319555880114,10.0,20.0,0.01030565963320844,0.5028133483774675,6.31496062992126,8.050236742644481,-954368.0,0
5021.0,1577.0,3444.0,0.3140808603863772,0.6859191396136228,1209.748689806726,3713.169942929613,254.61460444956316,9.0,21.0,0.003928286852589641,0.08128271230326829,6.257936507936508,8.041616488119818,-955904.0,0
5221.0,1645.0,3576.0,0.31507374066270827,0.6849262593372917,1286.3880123159752,3851.3823708206687,282.98102979496036,9.0,21.0,0.0035344827586206895,0.09018742594976921,6.278625954198473,7.95806286254462,-988672.0,0
1036.0,163.0,873.0,0.15733590733590733,0.8426640926640927,313.02858680506426,438.4355828220859,105.82226760921122,9.0,21.0,0.009458937198067632,0.06750700092397587,3.1346153846153846,3.3513995133712204,-363520.0,0
